iso_code,location,date,cases_per_100k,deaths_per_100k
AFG,Afghanistan,2020-02-24,1.26,NA
AFG,Afghanistan,2020-02-25,0,NA
AFG,Afghanistan,2020-02-26,0,NA
AFG,Afghanistan,2020-02-27,0,NA
AFG,Afghanistan,2020-02-28,0,NA
AFG,Afghanistan,2020-02-29,0,NA
AFG,Afghanistan,2020-03-01,0,NA
AFG,Afghanistan,2020-03-02,0,NA
AFG,Afghanistan,2020-03-03,0,NA
AFG,Afghanistan,2020-03-04,0,NA
AFG,Afghanistan,2020-03-05,0,NA
AFG,Afghanistan,2020-03-06,0,NA
AFG,Afghanistan,2020-03-07,0.75,NA
AFG,Afghanistan,2020-03-08,0,NA
AFG,Afghanistan,2020-03-09,0,NA
AFG,Afghanistan,2020-03-10,0,NA
AFG,Afghanistan,2020-03-11,0.75,NA
AFG,Afghanistan,2020-03-12,0,NA
AFG,Afghanistan,2020-03-13,0,NA
AFG,Afghanistan,2020-03-14,0.75,NA
AFG,Afghanistan,2020-03-15,1.51,NA
AFG,Afghanistan,2020-03-16,1.26,NA
AFG,Afghanistan,2020-03-17,0.25,NA
AFG,Afghanistan,2020-03-18,0,NA
AFG,Afghanistan,2020-03-19,0,NA
AFG,Afghanistan,2020-03-20,NA,NA
AFG,Afghanistan,2020-03-21,0,NA
AFG,Afghanistan,2020-03-22,2.51,NA
AFG,Afghanistan,2020-03-23,1.51,0.25
AFG,Afghanistan,2020-03-24,0.5,0
AFG,Afghanistan,2020-03-25,8.030000000000001,0
AFG,Afghanistan,2020-03-26,1.51,0.25
AFG,Afghanistan,2020-03-27,2.7600000000000002,0
AFG,Afghanistan,2020-03-28,3.77,0
AFG,Afghanistan,2020-03-29,2.0100000000000002,0.5
AFG,Afghanistan,2020-03-30,0,0
AFG,Afghanistan,2020-03-31,13.049999999999999,0
AFG,Afghanistan,2020-04-01,6.53,0
AFG,Afghanistan,2020-04-02,10.79,0
AFG,Afghanistan,2020-04-03,8.54,0.25
AFG,Afghanistan,2020-04-04,0.25,0
AFG,Afghanistan,2020-04-05,7.279999999999999,0.5
AFG,Afghanistan,2020-04-06,9.54,0
AFG,Afghanistan,2020-04-07,7.53,1
AFG,Afghanistan,2020-04-08,14.059999999999999,0.75
AFG,Afghanistan,2020-04-09,5.2700000000000005,0.25
AFG,Afghanistan,2020-04-10,19.330000000000002,0
AFG,Afghanistan,2020-04-11,0,0
AFG,Afghanistan,2020-04-12,8.54,0.75
AFG,Afghanistan,2020-04-13,13.049999999999999,0.25
AFG,Afghanistan,2020-04-14,14.559999999999999,0.75
AFG,Afghanistan,2020-04-15,26.36,0.75
AFG,Afghanistan,2020-04-16,6.02,1
AFG,Afghanistan,2020-04-17,12.8,0.25
AFG,Afghanistan,2020-04-18,15.82,0
AFG,Afghanistan,2020-04-19,6.28,0
AFG,Afghanistan,2020-04-20,15.82,0.75
AFG,Afghanistan,2020-04-21,7.53,0.75
AFG,Afghanistan,2020-04-22,16.57,0
AFG,Afghanistan,2020-04-23,21.09,1
AFG,Afghanistan,2020-04-24,12.549999999999999,0
AFG,Afghanistan,2020-04-25,26.110000000000003,0.75
AFG,Afghanistan,2020-04-26,33.39,1.51
AFG,Afghanistan,2020-04-27,17.07,0.25
AFG,Afghanistan,2020-04-28,43.17999999999999,2.51
AFG,Afghanistan,2020-04-29,31.13,0
AFG,Afghanistan,2020-04-30,0,0
AFG,Afghanistan,2020-05-01,86.35999999999999,1
AFG,Afghanistan,2020-05-02,74.81,2.0100000000000002
AFG,Afghanistan,2020-05-03,0,0
AFG,Afghanistan,2020-05-04,0,0
AFG,Afghanistan,2020-05-05,0,0
AFG,Afghanistan,2020-05-06,189.53,5.77
AFG,Afghanistan,2020-05-07,42.169999999999995,2.2600000000000002
AFG,Afghanistan,2020-05-08,42.93,0.25
AFG,Afghanistan,2020-05-09,0,0
AFG,Afghanistan,2020-05-10,210.62,3.51
AFG,Afghanistan,2020-05-11,65.77,0.25
AFG,Afghanistan,2020-05-12,76.06,1.7599999999999998
AFG,Afghanistan,2020-05-13,0,0
AFG,Afghanistan,2020-05-14,93.38,2.2600000000000002
AFG,Afghanistan,2020-05-15,179.24,4.27
AFG,Afghanistan,2020-05-16,87.60999999999999,3.77
AFG,Afghanistan,2020-05-17,58.49,0.25
AFG,Afghanistan,2020-05-18,109.7,1
AFG,Afghanistan,2020-05-19,146.35,1
AFG,Afghanistan,2020-05-20,123.01,2.51
AFG,Afghanistan,2020-05-21,133.3,1.51
AFG,Afghanistan,2020-05-22,135.56,3.01
AFG,Afghanistan,2020-05-23,184.76,2.51
AFG,Afghanistan,2020-05-24,179.74,1.7599999999999998
AFG,Afghanistan,2020-05-25,128.53,0.25
AFG,Afghanistan,2020-05-26,185.01000000000002,0.25
AFG,Afghanistan,2020-05-27,137.57,1.51
AFG,Afghanistan,2020-05-28,159.91,2.2600000000000002
AFG,Afghanistan,2020-05-29,161.40999999999997,2.7600000000000002
AFG,Afghanistan,2020-05-30,196.81,0.5
AFG,Afghanistan,2020-05-31,163.42,0.5
AFG,Afghanistan,2020-06-01,164.68,3.77
AFG,Afghanistan,2020-06-02,186.26999999999998,1.26
AFG,Afghanistan,2020-06-03,194.54999999999998,6.02
AFG,Afghanistan,2020-06-04,156.64,1.26
AFG,Afghanistan,2020-06-05,270.61,2.51
AFG,Afghanistan,2020-06-06,146.1,4.5200000000000005
AFG,Afghanistan,2020-06-07,198.57,7.53
AFG,Afghanistan,2020-06-08,144.34,3.01
AFG,Afghanistan,2020-06-09,76.57,1.7599999999999998
AFG,Afghanistan,2020-06-10,230.95,7.279999999999999
AFG,Afghanistan,2020-06-11,187.77,5.2700000000000005
AFG,Afghanistan,2020-06-12,164.68,5.02
AFG,Afghanistan,2020-06-13,139.57,1.26
AFG,Afghanistan,2020-06-14,166.69,5.02
AFG,Afghanistan,2020-06-15,191.04,1.26
AFG,Afghanistan,2020-06-16,26.61,2.0100000000000002
AFG,Afghanistan,2020-06-17,311.53,5.02
AFG,Afghanistan,2020-06-18,116.22999999999999,10.540000000000001
AFG,Afghanistan,2020-06-19,135.81,0.5
AFG,Afghanistan,2020-06-20,105.18,0
AFG,Afghanistan,2020-06-21,134.55,8.28
AFG,Afghanistan,2020-06-22,77.82,4.27
AFG,Afghanistan,2020-06-23,84.85,5.02
AFG,Afghanistan,2020-06-24,39.910000000000004,5.2700000000000005
AFG,Afghanistan,2020-06-25,134.3,9.040000000000001
AFG,Afghanistan,2020-06-26,21.34,1.26
AFG,Afghanistan,2020-06-27,89.36999999999999,5.77
AFG,Afghanistan,2020-06-28,88.11,6.53
AFG,Afghanistan,2020-06-29,68.03,1
AFG,Afghanistan,2020-06-30,30.369999999999997,0.5
AFG,Afghanistan,2020-07-01,101.17000000000002,9.79
AFG,Afghanistan,2020-07-02,65.27,8.28
AFG,Afghanistan,2020-07-03,75.81,3.01
AFG,Afghanistan,2020-07-04,87.36000000000001,1.7599999999999998
AFG,Afghanistan,2020-07-05,70.03999999999999,9.54
AFG,Afghanistan,2020-07-06,28.37,5.77
AFG,Afghanistan,2020-07-07,80.33,8.28
AFG,Afghanistan,2020-07-08,52.72,4.0200000000000005
AFG,Afghanistan,2020-07-09,14.81,0.25
AFG,Afghanistan,2020-07-10,135.81,8.54
AFG,Afghanistan,2020-07-11,39.41,1
AFG,Afghanistan,2020-07-12,25.099999999999998,8.79
AFG,Afghanistan,2020-07-13,1,0.5
AFG,Afghanistan,2020-07-14,71.53999999999999,8.28
AFG,Afghanistan,2020-07-15,50.21,12.3
