origin,country,o_d_pair,od_id,date,Point Forecast,Lo 95,Hi 95,expats,excess_migrants,excess_migrants_lo,excess_migrants_hi
CI,AE,CI-AE,1,2020-05-18,1630.9974244665739,1265.8400380896148,1996.154810843533,1197.7637335926406,-433.23369087393326,-68.07630449697422,-798.3910772508923
CI,BE,CI-BE,2,2020-05-18,7996.359273709702,7137.095079760618,8855.623467658786,7741.111803434305,-255.24747027539706,604.016723673687,-1114.5116642244811
CI,BF,CI-BF,3,2020-05-18,206670.93155327177,185410.71206174803,227931.15104479552,196487.89812601174,-10183.03342726003,11077.186064263718,-31443.25291878378
CI,BJ,CI-BJ,4,2020-05-18,19062.911469171882,17547.081196964344,20578.74174137942,17119.15791864776,-1943.7535505241212,-427.9232783165826,-3459.58382273166
CI,CA,CI-CA,5,2020-05-18,20677.071704154554,19152.941991984462,22201.201416324646,20029.64871537473,-647.4229887798247,876.7067233902671,-2171.5527009499165
CI,DE,CI-DE,6,2020-05-18,14693.35210510767,13880.953375005392,15505.750835209947,13296.451130366593,-1396.9009747410764,-584.5022446387993,-2209.2997048433535
CI,DZ,CI-DZ,7,2020-05-18,749.1757269137559,681.9324223845938,816.4190314429179,744.571504893826,-4.604222019929807,62.63908250923225,-71.84752654909187
CI,EG,CI-EG,8,2020-05-18,407.24825920302413,362.3707390456819,452.1257793603664,369.09721162017837,-38.15104758284576,6.7264725744964835,-83.02856774018801
CI,ES,CI-ES,9,2020-05-18,9815.590956068852,8299.600307453384,11331.581604684321,7520.0092002140655,-2295.581755854787,-779.5911072393183,-3811.5724044702556
CI,FR,CI-FR,10,2020-05-18,182527.18964131392,176843.11630402136,188211.26297860648,184237.25699988593,1710.067358572007,7394.1406958645675,-3974.0059787205537
CI,GA,CI-GA,11,2020-05-18,13901.862980004613,13027.762785248968,14775.963174760258,13858.93058364926,-42.932396355352466,831.1677984002927,-917.0325911109976
CI,GB,CI-GB,12,2020-05-18,10521.746470819255,9403.588599389308,11639.904342249201,11387.57891743408,865.832446614826,1983.9903180447727,-252.32542481512064
CI,GM,CI-GM,13,2020-05-18,2260.8471354338158,1918.3087812998547,2603.385489567777,1841.2464816485046,-419.6006537853111,-77.06229965135003,-762.1390079192722
CI,GN,CI-GN,14,2020-05-18,8795.30027380259,7785.676197218197,9804.924350386984,8446.874398783828,-348.42587501876187,661.1982015656313,-1358.049951603156
CI,IT,CI-IT,15,2020-05-18,39662.585469477024,34691.85472687018,44633.31621208387,33713.197649055466,-5949.387820421558,-978.6570778147143,-10920.118563028402
CI,MA,CI-MA,16,2020-05-18,1816.7036207151818,1447.0266679970641,2186.3805734332996,1712.5240960736564,-104.1795246415254,265.4974280765923,-473.8564773596431
CI,ML,CI-ML,17,2020-05-18,59050.12016743201,52257.74578117985,65842.49455368417,57163.07220675737,-1887.0479606746376,4905.326425577521,-8679.422346926796
CI,MR,CI-MR,18,2020-05-18,3780.9929025393367,2783.847824609613,4778.1379804690605,3675.9653219132388,-105.02758062609792,892.1174973036259,-1102.1726585558217
CI,NL,CI-NL,19,2020-05-18,4959.31807647457,4362.967638973361,5555.668513975779,2295.8972343377623,-2663.420842136808,-2067.070404635599,-3259.771279638017
CI,TN,CI-TN,20,2020-05-18,2062.3815001659227,1835.8994587838108,2288.863541548035,1933.3217526423857,-129.059747523537,97.4222938585749,-355.5417889056491
CI,TR,CI-TR,21,2020-05-18,2452.7164994302493,1991.7496548509425,2913.683344009556,1839.537374572687,-613.1791248575623,-152.21228027825555,-1074.145969436869
CI,US,CI-US,22,2020-05-18,34322.030557248756,31997.14408796092,36646.91702653659,35858.65577777777,1536.6252205290148,3861.511689816849,-788.2612487588194
DZ,AE,DZ-AE,23,2020-05-18,9456.120325051508,8334.22453861351,10578.016111489507,9342.557122022585,-113.56320302892345,1008.3325834090756,-1235.4589894669225
DZ,BE,DZ-BE,24,2020-05-18,25512.19387326427,22731.502494370718,28292.885252157823,23014.116172372258,-2498.077700892012,282.6136780015404,-5278.769079785565
DZ,BF,DZ-BF,25,2020-05-18,4491.151957165982,2912.937171208566,6069.366743123398,3929.757962520234,-561.3939946457481,1016.820791311668,-2139.608780603164
DZ,BJ,DZ-BJ,26,2020-05-18,2212.3299425003675,1914.838973851412,2509.820911149323,1711.9157918647772,-500.4141506355902,-202.92318198663475,-797.9051192845457
DZ,CA,DZ-CA,27,2020-05-18,84974.26727734748,76529.11893295382,93419.41562174114,76476.84054961284,-8497.426727734637,-52.2783833409776,-16942.575072128297
DZ,CI,DZ-CI,28,2020-05-18,8052.586719473427,5539.483269222463,10565.690169724392,5447.133725683481,-2605.452993789946,-92.34954353898138,-5118.556444040911
DZ,DE,DZ-DE,29,2020-05-18,35797.27548738623,33212.5906363512,38381.96033842126,32047.85657062723,-3749.4189167589975,-1164.7340657239656,-6334.103767794029
DZ,EG,DZ-EG,30,2020-05-18,5788.253265134371,5065.585409647331,6510.92112062141,5167.360962682494,-620.8923024518772,101.77555303516237,-1343.5601579389167
DZ,ES,DZ-ES,31,2020-05-18,45572.38658174834,36367.73546040573,54777.037703090944,34377.184915264246,-11195.201666484092,-1990.5505451414865,-20399.852787826698
DZ,FR,DZ-FR,32,2020-05-18,806073.1601122945,731980.7226856493,880165.5975389397,745229.3541568422,-60843.80595545226,13248.63147119293,-134936.24338209745
DZ,GA,DZ-GA,33,2020-05-18,2319.782871103414,2087.894734600516,2551.671007606312,2132.143166715272,-187.63970438814204,44.248432114755815,-419.5278408910399
DZ,GB,DZ-GB,34,2020-05-18,33698.665903466834,30674.214698075026,36723.11710885864,31057.03341118387,-2641.6324922829626,382.81871310884526,-5666.0836976747705
DZ,GM,DZ-GM,35,2020-05-18,2260.8471354338158,1918.3087812998547,2603.385489567777,1841.2464816485046,-419.6006537853111,-77.06229965135003,-762.1390079192722
DZ,GN,DZ-GN,36,2020-05-18,742.5823647282483,599.2112120922238,885.9535173642728,649.7595691372178,-92.82279559103051,50.54835704499396,-236.193948227055
DZ,IT,DZ-IT,37,2020-05-18,17054.911751875137,13579.568241184768,20530.255262565504,14080.217841664326,-2974.6939102108117,500.6496004795572,-6450.037420901179
DZ,MA,DZ-MA,38,2020-05-18,4995.934956966758,4076.1377276574904,5915.732186276026,3785.579580794398,-1210.3553761723601,-290.55814686309213,-2130.152605481628
DZ,ML,DZ-ML,39,2020-05-18,5787.761060934187,4666.619412037697,6908.902709830678,3929.961214214571,-1857.7998467196162,-736.6581978231256,-2978.9414956161067
DZ,MR,DZ-MR,40,2020-05-18,5042.702807720476,4571.584961324588,5513.820654116364,3045.799838156687,-1996.9029695637887,-1525.785123167901,-2468.0208159596764
DZ,NL,DZ-NL,41,2020-05-18,4371.0351192199705,3523.977834164969,5218.092404274972,3443.845851506644,-927.1892677133264,-80.13198265832489,-1774.246552768328
