origin,country,o_d_pair,od_id,date,time_interval,duration,expats_per_100k,log_expats,travel_rest_ind,W,excess_mortality_per_100k.o,excess_mortality_per_100k.d,L1.excess_mortality_per_100k.o,L1.excess_mortality_per_100k.d,string_mean.o,string_mean.d,mobility_mean.o,mobility_mean.d,cases_per_100k.o,deaths_per_100k.o,cases_per_100k.d,deaths_per_100k.d,L1.deaths_per_100k.o,L1.deaths_per_100k.d
CI,AE,CI-AE,1,2019-04-17,1,1,17.241379310344826,7.171896204640169,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,AE,CI-AE,1,2019-05-18,2,31,17.241379310344826,7.171896204640169,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,AE,CI-AE,1,2019-06-17,3,30,18.18181818181818,7.225006029954117,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,AE,CI-AE,1,2019-07-18,4,31,18.51851851851852,7.243355168622314,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,AE,CI-AE,1,2019-08-18,5,31,18.867924528301884,7.262047301634467,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,AE,CI-AE,1,2019-10-18,6,61,19.23076923076923,7.281095496605161,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,AE,CI-AE,1,2019-11-17,7,30,19.23076923076923,7.281095496605161,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,AE,CI-AE,1,2019-12-18,8,31,22.727272727272727,7.448149581268327,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,AE,CI-AE,1,2020-01-18,9,31,20.40816326530612,7.355274327106124,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
CI,AE,CI-AE,1,2020-02-16,10,29,21.27659574468085,7.396947023506692,0,0,-0.9186002160000094,-0.37264827700000874,NA,NA,0,0,0.3142857142857143,0.21904761904761905,0,0,9,0,NA,NA
CI,AE,CI-AE,1,2020-03-18,11,31,16.129032258064516,7.119960240171659,0.03225806451612903,1,-2.0733691080000076,-0.5732535720000097,-0.9186002160000094,-0.37264827700000874,4.032258064516129,11.894516129032258,2.9096774193548387,-1.5870967741935484,2.2199999999999998,0,104.09,0,0,0
CI,AE,CI-AE,1,2020-04-17,12,30,15.625,7.088211541857079,0.9333333333333333,1,-4.428246182000026,-0.33997143500000676,-2.0733691080000076,-0.5732535720000097,74.44066666666667,77.29133333333334,-21.573333333333334,-51.2,252.12,2.2199999999999998,6194.55,37,0,0
CI,AE,CI-AE,1,2020-05-18,13,31,15.625,7.088211541857079,1,1,-3.679440321000009,6.093402917999994,-4.428246182000026,-0.33997143500000676,73.31806451612904,77.82451612903226,-19.89032258064516,-53.49032258064516,528.9399999999999,8.14,17903.97,187.18,2.2199999999999998,37
CI,BE,CI-BE,2,2019-04-17,1,1,388.2352941176471,8.878072822422839,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BE,CI-BE,2,2019-05-18,2,31,388.2352941176471,8.878072822422839,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BE,CI-BE,2,2019-06-17,3,30,405.4054054054054,8.921348805904662,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BE,CI-BE,2,2019-07-18,4,31,414.2857142857143,8.94301710538379,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BE,CI-BE,2,2019-08-18,5,31,421.875,8.961170300091332,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BE,CI-BE,2,2019-10-18,6,61,412.6984126984128,8.939178329076626,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BE,CI-BE,2,2019-11-17,7,30,413.7931034482759,8.941827337248203,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BE,CI-BE,2,2019-12-18,8,31,411.764705882353,8.936913322445774,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BE,CI-BE,2,2020-01-18,9,31,431.37254901960785,9.013459014629158,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
CI,BE,CI-BE,2,2020-02-16,10,29,420,8.986741626290446,0,0,-0.9186002160000094,-7.761247963773097,NA,NA,0,7.974137931034483,0.3142857142857143,-0.01904761904761898,0,0,0.8599999999999999,0,NA,NA
CI,BE,CI-BE,2,2020-03-18,11,31,382.9787234042553,8.894466350181274,0,1,-2.0733691080000076,-6.121483689957917,-0.9186002160000094,-7.761247963773097,4.032258064516129,20.968387096774194,2.9096774193548387,-3.9483870967741934,2.2199999999999998,0,1276.6200000000001,12.04,0,0
CI,BE,CI-BE,2,2020-04-17,12,30,387.0967741935484,8.905161639298022,0.8666666666666667,1,-4.428246182000026,55.04852741873276,-2.0733691080000076,-6.121483689957917,74.44066666666667,79.17,-21.573333333333334,-51.586666666666666,252.12,2.2199999999999998,29789.4,4426.47,0,12.04
CI,BE,CI-BE,2,2020-05-18,13,31,406.5934065934066,8.954300600122544,1,1,-3.679440321000009,20.242221871748686,-4.428246182000026,55.04852741873276,73.31806451612904,78.09387096774194,-19.89032258064516,-38.825806451612905,528.9399999999999,8.14,16695.68,3367.3,2.2199999999999998,4426.47
CI,BF,CI-BF,3,2019-04-17,1,1,34545.454545454544,12.279440273901615,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BF,CI-BF,3,2019-05-18,2,31,34545.454545454544,12.279440273901615,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BF,CI-BF,3,2019-06-17,3,30,34545.454545454544,12.279440273901615,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BF,CI-BF,3,2019-07-18,4,31,34545.454545454544,12.279440273901615,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BF,CI-BF,3,2019-08-18,5,31,30833.333333333336,12.165760649829824,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BF,CI-BF,3,2019-10-18,6,61,30833.333333333336,12.165760649829824,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BF,CI-BF,3,2019-11-17,7,30,32307.69230769231,12.212469647795432,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BF,CI-BF,3,2019-12-18,8,31,33636.36363636364,12.252772026819454,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BF,CI-BF,3,2020-01-18,9,31,34615.38461538462,12.290634970370325,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
CI,BF,CI-BF,3,2020-02-16,10,29,30714.285714285717,12.171064624139847,0,0,-0.9186002160000094,-0.9341182490000108,NA,NA,0,0,0.3142857142857143,0.10476190476190475,0,0,0,0,NA,NA
CI,BF,CI-BF,3,2020-03-18,11,31,32857.142857142855,12.23850590493538,0,1,-2.0733691080000076,-0.6225084270000064,-0.9186002160000094,-0.9341182490000108,4.032258064516129,5.241935483870968,2.9096774193548387,-0.40645161290322573,2.2199999999999998,0,9.32,0.47,0,0
CI,BF,CI-BF,3,2020-04-17,12,30,29333.333333333332,12.125061270877595,0.7666666666666667,1,-4.428246182000026,2.2656755039999914,-2.0733691080000076,-0.6225084270000064,74.44066666666667,78.47066666666667,-21.573333333333334,-24.586666666666666,252.12,2.2199999999999998,249.81,15.86,0,0.47
CI,BF,CI-BF,3,2020-05-18,13,31,31250,12.188356121249907,1,1,-3.679440321000009,1.8566848839999914,-4.428246182000026,2.2656755039999914,73.31806451612904,72.68032258064517,-19.89032258064516,-16.90967741935484,528.9399999999999,8.14,111.22,7.49,2.2199999999999998,15.86
CI,BJ,CI-BJ,4,2019-04-17,1,1,5750,9.861428506455578,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BJ,CI-BJ,4,2019-05-18,2,31,5750,9.861428506455578,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BJ,CI-BJ,4,2019-06-17,3,30,5750,9.861428506455578,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BJ,CI-BJ,4,2019-07-18,4,31,5933.333333333334,9.892814820276248,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BJ,CI-BJ,4,2019-08-18,5,31,5375,9.793987225660045,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,BJ,CI-BJ,4,2019-10-18,6,61,5466.666666666667,9.810897697808361,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
