origin,destination,date,status
CI,AE,3/8/20,green
CI,AE,3/9/20,green
CI,AE,3/10/20,green
CI,AE,3/11/20,green
CI,AE,3/12/20,green
CI,AE,3/13/20,green
CI,AE,3/14/20,green
CI,AE,3/15/20,green
CI,AE,3/16/20,green
CI,AE,3/17/20,yellow
CI,AE,3/18/20,yellow
CI,AE,3/19/20,yellow
CI,AE,3/20/20,yellow
CI,AE,3/21/20,yellow
CI,AE,3/22/20,yellow
CI,AE,3/23/20,red
CI,AE,3/24/20,red
CI,AE,3/25/20,red
CI,AE,3/26/20,red
CI,AE,3/27/20,red
CI,AE,3/28/20,red
CI,AE,3/29/20,red
CI,AE,3/30/20,red
CI,AE,3/31/20,red
CI,AE,4/1/20,red
CI,AE,4/2/20,red
CI,AE,4/3/20,red
CI,AE,4/4/20,red
CI,AE,4/5/20,red
CI,AE,4/6/20,red
CI,AE,4/7/20,red
CI,AE,4/8/20,red
CI,AE,4/9/20,red
CI,AE,4/10/20,red
CI,AE,4/11/20,red
CI,AE,4/12/20,red
CI,AE,4/13/20,red
CI,AE,4/14/20,red
CI,AE,4/15/20,red
CI,AE,4/16/20,red
CI,AE,4/17/20,red
CI,AE,4/18/20,red
CI,AE,4/19/20,red
CI,AE,4/20/20,red
CI,AE,4/21/20,red
CI,AE,4/22/20,red
CI,AE,4/23/20,red
CI,AE,4/24/20,red
CI,AE,4/25/20,red
CI,AE,4/26/20,red
CI,AE,4/27/20,red
CI,AE,4/28/20,red
CI,AE,4/29/20,red
CI,AE,4/30/20,red
CI,AE,5/1/20,red
CI,AE,5/2/20,red
CI,AE,5/3/20,red
CI,AE,5/4/20,red
CI,AE,5/5/20,red
CI,AE,5/6/20,red
CI,AE,5/7/20,red
CI,AE,5/8/20,red
CI,AE,5/9/20,red
CI,AE,5/10/20,red
CI,AE,5/11/20,red
CI,AE,5/12/20,red
CI,AE,5/13/20,red
CI,AE,5/14/20,red
CI,AE,5/15/20,red
CI,AE,5/16/20,red
CI,AE,5/17/20,red
CI,AE,5/18/20,red
CI,AE,5/19/20,red
CI,AE,5/20/20,red
CI,AE,5/21/20,red
CI,AE,5/22/20,red
CI,AE,5/23/20,red
CI,AE,5/24/20,red
CI,AE,5/25/20,red
CI,AE,5/26/20,red
CI,AE,5/27/20,red
CI,AE,5/28/20,red
CI,AE,5/29/20,red
CI,AE,5/30/20,red
CI,AE,5/31/20,red
CI,AE,6/1/20,red
DZ,AE,3/8/20,green
DZ,AE,3/9/20,green
DZ,AE,3/10/20,green
DZ,AE,3/11/20,green
DZ,AE,3/12/20,green
DZ,AE,3/13/20,green
DZ,AE,3/14/20,green
DZ,AE,3/15/20,green
DZ,AE,3/16/20,green
DZ,AE,3/17/20,yellow
DZ,AE,3/18/20,yellow
DZ,AE,3/19/20,yellow
DZ,AE,3/20/20,yellow
DZ,AE,3/21/20,yellow
DZ,AE,3/22/20,yellow
DZ,AE,3/23/20,red
DZ,AE,3/24/20,red
DZ,AE,3/25/20,red
DZ,AE,3/26/20,red
DZ,AE,3/27/20,red
DZ,AE,3/28/20,red
DZ,AE,3/29/20,red
DZ,AE,3/30/20,red
DZ,AE,3/31/20,red
DZ,AE,4/1/20,red
DZ,AE,4/2/20,red
DZ,AE,4/3/20,red
DZ,AE,4/4/20,red
DZ,AE,4/5/20,red
DZ,AE,4/6/20,red
DZ,AE,4/7/20,red
DZ,AE,4/8/20,red
DZ,AE,4/9/20,red
DZ,AE,4/10/20,red
DZ,AE,4/11/20,red
DZ,AE,4/12/20,red
DZ,AE,4/13/20,red
DZ,AE,4/14/20,red
DZ,AE,4/15/20,red
DZ,AE,4/16/20,red
DZ,AE,4/17/20,red
DZ,AE,4/18/20,red
DZ,AE,4/19/20,red
DZ,AE,4/20/20,red
DZ,AE,4/21/20,red
DZ,AE,4/22/20,red
DZ,AE,4/23/20,red
DZ,AE,4/24/20,red
DZ,AE,4/25/20,red
DZ,AE,4/26/20,red
DZ,AE,4/27/20,red
DZ,AE,4/28/20,red
DZ,AE,4/29/20,red
DZ,AE,4/30/20,red
DZ,AE,5/1/20,red
DZ,AE,5/2/20,red
DZ,AE,5/3/20,red
DZ,AE,5/4/20,red
DZ,AE,5/5/20,red
DZ,AE,5/6/20,red
DZ,AE,5/7/20,red
DZ,AE,5/8/20,red
DZ,AE,5/9/20,red
DZ,AE,5/10/20,red
DZ,AE,5/11/20,red
DZ,AE,5/12/20,red
DZ,AE,5/13/20,red
DZ,AE,5/14/20,red
DZ,AE,5/15/20,red
DZ,AE,5/16/20,red
DZ,AE,5/17/20,red
DZ,AE,5/18/20,red
DZ,AE,5/19/20,red
DZ,AE,5/20/20,red
DZ,AE,5/21/20,red
DZ,AE,5/22/20,red
DZ,AE,5/23/20,red
DZ,AE,5/24/20,red
DZ,AE,5/25/20,red
DZ,AE,5/26/20,red
DZ,AE,5/27/20,red
DZ,AE,5/28/20,red
DZ,AE,5/29/20,red
DZ,AE,5/30/20,red
DZ,AE,5/31/20,red
DZ,AE,6/1/20,red
MA,AE,3/8/20,green
MA,AE,3/9/20,green
MA,AE,3/10/20,green
MA,AE,3/11/20,green
MA,AE,3/12/20,green
MA,AE,3/13/20,green
MA,AE,3/14/20,green
MA,AE,3/15/20,green
MA,AE,3/16/20,green
MA,AE,3/17/20,yellow
MA,AE,3/18/20,yellow
MA,AE,3/19/20,yellow
MA,AE,3/20/20,yellow
MA,AE,3/21/20,yellow
MA,AE,3/22/20,yellow
MA,AE,3/23/20,red
MA,AE,3/24/20,red
MA,AE,3/25/20,red
MA,AE,3/26/20,red
MA,AE,3/27/20,red
MA,AE,3/28/20,red
MA,AE,3/29/20,red
MA,AE,3/30/20,red
MA,AE,3/31/20,red
MA,AE,4/1/20,red
MA,AE,4/2/20,red
MA,AE,4/3/20,red
MA,AE,4/4/20,red
MA,AE,4/5/20,red
MA,AE,4/6/20,red
MA,AE,4/7/20,red
MA,AE,4/8/20,red
MA,AE,4/9/20,red
MA,AE,4/10/20,red
MA,AE,4/11/20,red
MA,AE,4/12/20,red
MA,AE,4/13/20,red
MA,AE,4/14/20,red
MA,AE,4/15/20,red
MA,AE,4/16/20,red
MA,AE,4/17/20,red
MA,AE,4/18/20,red
MA,AE,4/19/20,red
MA,AE,4/20/20,red
MA,AE,4/21/20,red
MA,AE,4/22/20,red
MA,AE,4/23/20,red
MA,AE,4/24/20,red
MA,AE,4/25/20,red
MA,AE,4/26/20,red
MA,AE,4/27/20,red
MA,AE,4/28/20,red
MA,AE,4/29/20,red
MA,AE,4/30/20,red
MA,AE,5/1/20,red
